Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 100) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
2,GRM1555C1H220JA01D,Murata,GRM1555C1H220JA01D,https://octopart.com/grm1555c1h220ja01d-murata-15197536,C101 C104,,22p,200,GRM1555C1H220JA01D,490-5868-1-ND,GRM1555C1H220JA01D,48W5745,GRM1555C1H220JA01D,,Cut Tape,,Cut Tape,,,0.0059,0.005,0.007,,1700000,1251312,155229,25105,1250000,10000,1,,10,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=01bf2c0&sid=5822&ppid=15197536&vpid=33115086&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0d12365&sid=459&ppid=15197536&vpid=48486697&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=074607e&sid=2401&ppid=15197536&vpid=37968658&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0278f39&sid=2402&ppid=15197536&vpid=76549790&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0f0fe68&sid=950&ppid=15197536&vpid=83119646&ct=offers,Mouser,GRM1555C1H220JA01D,,0.005,0.01,1,155229,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=074607e&sid=2401&ppid=15197536&vpid=37968658&ct=offers,
2,GRM1555C2A560JA01D,Murata,GRM1555C2A560JA01D,https://octopart.com/grm1555c2a560ja01d-murata-29782475,C401 C404,,56p/100,200,GRM1555C2A560JA01D,490-7308-1-ND,GRM1555C2A560JA01D,,,,Cut Tape,,,,,0.027,0.019,,,0,10967,17800,,,10000,1,,,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=00afe4b&sid=5822&ppid=29782475&vpid=250273686&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0022cc9&sid=459&ppid=29782475&vpid=82001814&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=00e28bc&sid=2401&ppid=29782475&vpid=203883058&ct=offers,,,Mouser,GRM1555C2A560JA01D,,0.019,0.038,3.8,17800,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=00e28bc&sid=2401&ppid=29782475&vpid=203883058&ct=offers,
4,GRM1555C1H101JA01D,Murata,GRM1555C1H101JA01D,https://octopart.com/grm1555c1h101ja01d-murata-15197512,C194 C408 C411 C416,,100p,400,GRM1555C1H101JA01D,490-5922-1-ND,GRM1555C1H101JA01D,48W5738,GRM1555C1H101JA01D,,Cut Tape,,Cut Tape,,,0.00488,0.005,0.006,,5700000,566659,200866,2180,2000000,10000,1,,10,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=07ef7a7&sid=5822&ppid=15197512&vpid=29226351&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0b13664&sid=459&ppid=15197512&vpid=57750208&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0014134&sid=2401&ppid=15197512&vpid=37723793&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0fd0b0e&sid=2402&ppid=15197512&vpid=76549783&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0cf8c6e&sid=950&ppid=15197512&vpid=83119558&ct=offers,Area51,GRM1555C1H101JA01D,,0.0015,0.006,0.6,9794,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0b70730&sid=13811&ppid=15197512&vpid=92877885&ct=offers,
2,GRM1555C1H161JA01D,Murata,GRM1555C1H161JA01D,https://octopart.com/grm1555c1h161ja01d-murata-196849,C402 C403,,160p/50,200,GRM1555C1H161JA01D,490-3230-1-ND,GRM1555C1H161JA01D,,GRM1555C1H161JA01D,,Cut Tape,,,,,0.0303,0.022,,,0,17997,17100,,0,10000,1,,,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=01958f9&sid=5822&ppid=196849&vpid=20535142&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0f4915a&sid=459&ppid=196849&vpid=1148289&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0f07861&sid=2401&ppid=196849&vpid=37788495&ct=offers,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=097e2a4&sid=950&ppid=196849&vpid=83119596&ct=offers,Mouser,GRM1555C1H161JA01D,,0.022,0.044,4.3999999999999995,17100,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0f07861&sid=2401&ppid=196849&vpid=37788495&ct=offers,
5,GCM155R71H102KA37D,Murata,GCM155R71H102KA37D,https://octopart.com/gcm155r71h102ka37d-murata-7894753,C407 C409 C428 C430 C432,,1n,500,GCM155R71H102KA37D,490-4761-1-ND,GCM155R71H102KA37D,45Y5158,GCM155R71H102KA37D,,Cut Tape,,Cut Tape,,,0.01156,0.012,0.008,,10000,2070,362317,8570,860000,10000,1,,10,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=03cdf21&sid=5822&ppid=7894753&vpid=29157817&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=05e6135&sid=459&ppid=7894753&vpid=34232108&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=03b7025&sid=2401&ppid=7894753&vpid=37800153&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0ac46bf&sid=2402&ppid=7894753&vpid=231884078&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=081cdab&sid=950&ppid=7894753&vpid=83118408&ct=offers,Arrow,GCM155R71H102KA37D**MULT,,0.0077,0.0385,3.85,5150,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0e42809&sid=1106&ppid=7894753&vpid=40137321&ct=offers,
8,GRM155R71C103KA01D,Murata,GRM155R71C103KA01D,https://octopart.com/grm155r71c103ka01d-murata-196031,C105 C106 C193 C303 C305 C413 C417 C425,,10n,800,GRM155R71C103KA01D,490-1313-1-ND,GRM155R71C103KA01D,14T3279,GRM155R71C103KA01D,,Cut Tape,,Cut Tape,,,0.00396,0.004,0.004,,4310000,2897590,688040,19376,0,10000,1,,10,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=08283fe&sid=5822&ppid=196031&vpid=17807016&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0fcb33b&sid=459&ppid=196031&vpid=1843990&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0cb4303&sid=2401&ppid=196031&vpid=37739750&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0808980&sid=2402&ppid=196031&vpid=33511613&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0847e4e&sid=950&ppid=196031&vpid=83119997&ct=offers,Digi-Key,490-1313-1-ND,Cut Tape,0.00396,0.03168,3.168,2897590,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0fcb33b&sid=459&ppid=196031&vpid=1843990&ct=offers,
14,GRM155R71C104KA88D,Murata,GRM155R71C104KA88D,https://octopart.com/grm155r71c104ka88d-murata-196880,C190 C191 C192 C195 C301 C421 C422 C423 C424 C429 C431 C433 C702 C704,,100n,1400,GRM155R71C104KA88D,490-3261-1-ND,GRM155R71C104KA88D,38K1647,GRM155R71C104KA88D.,,Cut Tape,,Cut Tape,,,0.00375,0.005,0.005,0.052,29870000,29716866,3715013,0,8800,10000,1,,1,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=04a7876&sid=5822&ppid=196880&vpid=17698899&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=089a016&sid=459&ppid=196880&vpid=2091315&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0b02349&sid=2401&ppid=196880&vpid=37849602&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0dc1b92&sid=2402&ppid=196880&vpid=6625327&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=033a944&sid=950&ppid=196880&vpid=192746740&ct=offers,Area51,GRM155R71C104KA88D,,0.002,0.028,2.8000000000000003,21513,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0fc7458&sid=13811&ppid=196880&vpid=49706662&ct=offers,
28,GRM155R6YA474KE01D,Murata,GRM155R6YA474KE01D,https://octopart.com/grm155r6ya474ke01d-murata-51166809,C1 C2 C3 C6 C7 C8 C11 C12 C13 C15 C16 C23 C24 C25 C26 C30 C31 C32 C33 C36 C37 C38 C39 C42 C302 C304 C410 C414,,470n,2800,GRM155R6YA474KE01D,490-10462-1-ND,GRM155R6YA474KE01D,,,,Cut Tape,,,,,0.0153,0.02,,,0,10843,36185,,,10000,1,,,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0586ff3&sid=5822&ppid=51166809&vpid=250274541&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=03ceea8&sid=459&ppid=51166809&vpid=172161792&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=016172f&sid=2401&ppid=51166809&vpid=169047594&ct=offers,,,Digi-Key,490-10462-1-ND,Cut Tape,0.0153,0.4284,42.84,10843,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=03ceea8&sid=459&ppid=51166809&vpid=172161792&ct=offers,
7,GRM155R61E105KA12D,Murata,GRM155R61E105KA12D,https://octopart.com/grm155r61e105ka12d-murata-22455235,C196 C197 C418 C419 C426 C427 C705,,1u,700,GRM155R61E105KA12D,490-10017-1-ND,GRM155R61E105KA12D,48W5730,GRM155R61E105KA12D,,Cut Tape,,Cut Tape,,,0.02272,0.023,0.027,,0,13370,255637,53600,0,10000,1,,10,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0235d27&sid=5822&ppid=22455235&vpid=250274482&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0557e55&sid=459&ppid=22455235&vpid=172161769&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=022fa0a&sid=2401&ppid=22455235&vpid=165404820&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=076b6e6&sid=2402&ppid=22455235&vpid=78649235&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0b272d9&sid=950&ppid=22455235&vpid=84832323&ct=offers,Chip One Stop,MURA-0169722,Cut Tape,0.019094244698021144,0.133659712886148,13.3659712886148,191,100,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=04e44e2&sid=13512&ppid=22455235&vpid=211290041&ct=offers,
3,GRM155R60J225ME15D,Murata,GRM155R60J225ME15D,https://octopart.com/grm155r60j225me15d-murata-197888,C412 C415 C420,,2.2u,300,GRM155R60J225ME15D,490-4519-1-ND,GRM155R60J225ME15D,40X5872,GRM155R60J225ME15D,,Cut Tape,,Cut Tape,,,0.0714,0.063,0.022,,770000,0,250953,62820,450000,10000,1,,10,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0747f7b&sid=5822&ppid=197888&vpid=19893871&ct=offers,https://octopart-clicks.com/click/track?c=1&country=NZ&ak=68b25f31&sig=0d52aab&sid=459&ppid=197888&vpid=1428182&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0d27a28&sid=2401&ppid=197888&vpid=37933952&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0ef4061&sid=2402&ppid=197888&vpid=120920392&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=042d5b5&sid=950&ppid=197888&vpid=83119938&ct=offers,Newark,40X5872,Cut Tape,0.022,0.066,6.6,62820,10,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0ef4061&sid=2402&ppid=197888&vpid=120920392&ct=offers,
11,GRM155R60J475ME47D,Murata,GRM155R60J475ME47D,https://octopart.com/grm155r60j475me47d-murata-21407240,C9 C14 C17 C18 C27 C28 C34 C35 C40 C41 C706,,4.7u,1100,GRM155R60J475ME47D,490-5915-1-ND,GRM155R60J475ME47D,68X2780,GRM155R60J475ME47D,,Cut Tape,,Cut Tape,,,0.0275,0.034,0.049,,180000,90820,174947,47350,100000,10000,1,,10,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=094f05a&sid=5822&ppid=21407240&vpid=47582786&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=01a475e&sid=459&ppid=21407240&vpid=57637075&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0f296e1&sid=2401&ppid=21407240&vpid=165404776&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0860152&sid=2402&ppid=21407240&vpid=173672474&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=06d4b38&sid=950&ppid=21407240&vpid=83546372&ct=offers,Chip One Stop,MURA-0137904,,0.026376700815405957,0.2901437089694655,29.014370896946552,10020,50,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0bf8b48&sid=13512&ppid=21407240&vpid=216788260&ct=offers,
1,GRM219R72A102KA01J,Murata,GRM219R72A102KA01J,https://octopart.com/grm219r72a102ka01j-murata-9287147,C405,,1n/100,100,GRM219R72A102KA01J,GRM219R72A102KA01J-ND,GRM219R72A102KA01J,,GRM219R72A102KA01J,,Tape & Reel,,,,,,0.054,,,0,0,13900,,600000,10000,10000,,,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0c3e8e9&sid=5822&ppid=9287147&vpid=26663450&ct=offers,https://octopart-clicks.com/click/track?c=1&country=NZ&ak=68b25f31&sig=061dbef&sid=459&ppid=9287147&vpid=36253427&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0b95b93&sid=2401&ppid=9287147&vpid=37803328&ct=offers,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0fea565&sid=950&ppid=9287147&vpid=83121264&ct=offers,Future Electronics,GRM219R72A102KA01J,,0.0166,0.0166,1.66,1,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0c7e1c8&sid=2454&ppid=9287147&vpid=15656853&ct=offers,
