kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
7538;1630-1640;Fr;RUS;E07a Russian Spy Numbers;E;RUS;m;1;0111;3011
7540;1500-1600;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7540;2300-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7540;2000-2100;;CLA;Radio Free North Korea;K;KRE;/UZB;1;;[0921]
7540;1500-1600;;USA;Radio Free Asia;M;FE;/TJK;0;;
7540;2300-2400;;USA;Radio Free Asia;TB;FE;/KWT;0;;
7542;0000-2400;;RUS;Chelyabinsk Aero Brazka;R;RUS;cy;1;;[1218]
7542;0000-2400;;RUS;Kazan Aero Melodia Dwa;R;CAs;kz;1;;
7542;0000-2400;;RUS;Mozdok Aero Assistent;R;CAs;mz;1;;[1218]
7542;0000-2400;;RUS;Novosib. Aero Katyusha;R;CAs;nv;1;;
7542;0000-2400;;RUS;Omsk Aero Keepl;R;CAs;om;1;;
7542;0000-2400;;RUS;Samara Aero Amba;R;CAs;sv;1;;
7542;0000-2400;;RUS;Yekaterinb.Aero Alenki;R;CAs;yv;1;;
7545;1300-1500;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7545;1600-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7545;1600-1700;;USA;Radio Free Asia;UI;CHN;/TJK;0;;
7545;1300-1500;;USA;Voice of America;M;FE;/PHL-t;0;;
7546;1025-1035;Mo-Fr;RUS;F01 Russian Spy Numbers;-TY;EEu;or;1;0109;3009
7549;0000-2400;;USA;US National Guard ALE;;USA;;1;;
7550;1700-1800;;G;BBC;DR;AFG;/BUL-s;0;;
7550;1800-1900;;G;BBC;PS;AFG;/BUL-s;0;;
7550;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[1119]
7550;0000-2400;;SVK;Slovak Military ALE;;SVK;;1;;
7551.2;0000-2400;;D;DHJ58 Marine STANAG;;Eu;gl;1;;[0919]
7552;0000-2400;;USA;NTA Emergency ALE Net;;USA;;1;;
7553;0600-1600;;CHN;V26 Numbers Station;M;FE;xx;1;;
7554.6;0000-2400;;F;FUG French Navy STANAG;F;Eu;sa;1;;[0919]
7556;0410-0420;Mo;RUS;F06 Russian Spy Numbers;-TY;RUS;m;1;0104;3004
7558;2010-2020;Tu,Su;RUS;XPB Russian Spy Numbers;-TY;RUS;m;1;0112;3112[1219]
7558;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[0120]
7560;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7560;1600-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7560;1110-1120;Tu;UKR;S06s Spy Numbers;R;UKR;rv;1;0105;3108[0721]
7560;1600-1700;;USA;Radio Free Asia;UI;CHN;/KWT;0;;
7560;0000-0100;;USA;Voice of America;M;FE;/THA-u;0;;
7565;1530-1600;;J;NHK Radio Japan;HI;SAs;/UZB;0;;
7567.5;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ev;1;;
7570;1300-1400;;KRE;Voice of Korea;E;Eu;u;4;;
7570;1400-1500;;KRE;Voice of Korea;F;Eu;u;4;;
7570;1500-1600;;KRE;Voice of Korea;E;Eu;u;4;;
7570;1600-1700;;KRE;Voice of Korea;F;Eu;u;4;;
7570;1700-1800;;KRE;Voice of Korea KCBS;K;Eu;u;4;;
7570;1800-1900;;KRE;Voice of Korea;E;Eu;u;4;;
7570;1900-2000;;KRE;Voice of Korea;S;Eu;u;4;;
7570;2000-2100;;KRE;Voice of Korea;F;Eu;u;4;;
7570;2100-2200;;KRE;Voice of Korea;E;Eu;u;4;;
7570;2200-2300;;KRE;Voice of Korea;S;Eu;u;4;;
7570;2300-2400;;KRE;Voice of Korea KCBS;K;Eu;u;4;;
7570;1300-1400;;USA;Brother Stair;E;WNA;o;1;;
7570;1400-1700;SaSu;USA;Brother Stair;E;WNA;o;1;;
7570;2300-1100;;USA;Brother Stair;E;WNA;o;1;;
7570;1100-1300;;USA;WRMI Radio Miami Int.;E;WNA;o;1;;
7572;0840-0850;Mo-Fr;E;Ejercito del Aire;S;E;to;2;;[0120]
7572;1035-1045;Mo-Fr;RUS;F01 Russian Spy Numbers;-TY;EEu;or;1;0105;3105
7572;2130-2140;We,Fr;RUS;M12 Spy Numbers;-CW;RUS;m;1;0103;3103
7575;2100-2110;Fr,Sa;RUS;M12 Spy Numbers;-CW;RUS;m;1;0104;3004
7576;2010-2020;Tu,Su;RUS;XPB Russian Spy Numbers;-TY;RUS;m;1;0111;3011
7579;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[0120]
7580;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7580;0100-0200;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
7580;0700-0900;;KRE;Voice of Korea;J;J;u;4;;
7580;0900-1300;;KRE;Voice of Korea;J;J;u;4;;
7580;2100-2400;;KRE;Voice of Korea;J;J;u;4;;
7580;1530-1730;;USA;Radio Farda;FS;IRN;/D-L;0;;
7580;1730-2130;;USA;Radio Farda;FS;IRN;/THA-u;0;;
7580;0100-0200;;USA;Radio Free Asia;UI;CHN;/TJK;0;;
7580;0000-0100;;USA;Voice of America;TB;FE;/KWT;0;;
7582;1800-1810;We,Su;RUS;E07 Russian Spy Numbers;E;RUS;m;1;0111;3011
7582;0000-2400;;F;French Navy ALE;;F;;1;;
7584;2250-2300;We,Sa;RUS;M12 Spy Numbers;-CW;RUS;m;1;0107;3107
7585;0230-0830;;USA;Radio Farda;FS;IRN;/KWT;0;;
7590;0630-1400;;G;Afghanistan Int. TV;AFG;AFG;/ARM;1;;
7590;1400-1500;;CLA;North Korea Reform R.;K;KRE;/UZB;1;;[0721]
7590;2000-2100;;CLA;North Korea Reform R.;K;KRE;/UZB;1;;[0721]
7590;0030-0130;;IND;Trans World Radio;;SAs;/MDA;0;;
7591;1035-1045;Mo-Fr;RUS;F01 Russian Spy Numbers;-TY;EEu;or;1;0106;3006
7594.5;0000-2400;;AUT;Austrian Military ALE;;AUT;;1;;[1119]
7597;0000-2400;;USA;NPG US Navy STANAG;;WNA;dx;1;;[1219]
7600;0200-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;[0521]
7600;1300-1400;;CLA;Radio Free North Korea;K;KRE;/UZB;4;;[0321]
7600;0230-1430;;G;Afghanistan Int. TV;AFG;AFG;/UZB;1;;
7600;1430-0230;;G;Afghanistan Int. TV;AFG;AFG;/ARM;1;;
7600;1900-1910;Mo,Th;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0620]
7600;1020-1030;Tu,Fr;POL;S11a Polish Spy Numbers;R;;p;1;0111;2802[0220]
7600;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[1219]
7600.2;0000-0100;;TWN;Sound of Hope;M;FE;;1;;
7600.2;0200-1000;;TWN;Sound of Hope;M;FE;;1;;
7600.2;1000-1300;;TWN;Sound of Hope;M;FE;;1;;
7600.2;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
7600.2;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
7600.2;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
7600.2;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
7600.2;1700-2000;;TWN;Sound of Hope;M;FE;;1;;[0521]
7600.2;2000-2100;;TWN;Sound of Hope;M;FE;;1;;
7600.2;2100-2130;;TWN;Sound of Hope;M;FE;;1;;[0521]
7600.2;2130-2200;;TWN;Sound of Hope;M;FE;;1;;
7600.2;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
7600.2;2300-2400;;TWN;Sound of Hope;M;FE;;1;;
7603;0000-2400;;CHN;Chinese Navy ALE;;CHN;;1;;
7610;2000-0100;;CHL;RCW Compañía Worldwide;S;CHL;gc;1;;[1220]
7610;1830-1900;;USA;Radio Ranginkaman;FS;IRN;/UZB;2;;
7610;0000-2400;;MRC;Moroccan Police ALE;;MRC;;1;;[1119]
7610;0000-2400;;SVK;Slovak Military ALE;;SVK;;1;;
7611;0000-2400;;UZB;Channel Marker V;-CW;CAs;;1;;[1119]
7611;0000-2400;;USA;Fed.Aviation Admin. ALE;;USA;;1;;
7616;2000-2010;Mo,We;RUS;E07 Russian Spy Numbers;E;RUS;m;1;0111;3011
7617;0000-2400;;TUR;Turk.AFAD Emergency ALE;;TUR;;1;;[0120]
7620;0000-2400;;KGZ;Kyrgyz Military ALE;;KGZ;;1;;
7620;0000-2400;;TUR;Turk.AFAD Emergency ALE;;TUR;;1;;
7622;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[0120]
7624;0000-2400;;SVK;Slovak Military ALE;;SVK;;1;;
7627.5;0000-2400;;HOL;Dutch Military ALE;;HOL;;1;;
7628;0000-2400;;F;FUO French Navy USB/FSK;F;Eu;to;1;;
7629;1940-1950;1WeFr;RUS;F01 Russian Spy Numbers;-TY;RUS;m;1;0101;3101
7629;0000-2400;;SVK;Slovak Military ALE;;SVK;;1;;
7630;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[1219]
7632;1610-1620;Fr;RUS;E07a Russian Spy Numbers;E;RUS;m;1;0101;3101[0120]
7632;0000-2400;;USA;US Air Force ALE;;Glo;;1;;
7634;0110-0120;Tu,Fr;RUS;M12 Spy Numbers;-CW;RUS;m;1;0102;2802
7637;0000-2400;;CLM;Colombian Army ALE;;CLM;;1;;
7638;0000-2400;;E;Guardia Civil ALE;;E;;1;;
7639;0000-2400;;S;Swedish Military ALE;;S;;1;;[1119]
7639.5;0000-2400;;USA;US Army MARS ALE;;USA;;1;;
7643;1440-1450;Sa;RUS;E07 Russian Spy Numbers;E;RUS;m;1;0112;3112
7645;0000-0100;;TWN;Sound of Hope;M;FE;;1;;
7645;0200-1000;;TWN;Sound of Hope;M;FE;;1;;
7645;1000-1300;;TWN;Sound of Hope;M;FE;;1;;
7645;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
7645;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
7645;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
7645;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
7645;1700-2000;;TWN;Sound of Hope;M;FE;;1;;[0521]
7645;2000-2100;;TWN;Sound of Hope;M;FE;;1;;
7645;2100-2130;;TWN;Sound of Hope;M;FE;;1;;[0521]
7645;2130-2200;;TWN;Sound of Hope;M;FE;;1;;
7645;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
7645;2300-2400;;TWN;Sound of Hope;M;FE;;1;;
7646;0000-2400;;D;DWD 1 Pinneberg RTTY;E;Eu;pi;1;;[0420]
7648;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[0120]
7650;0000-2400;;LTU;Lithuanian Navy ALE;;LTU;;1;;
7651;2040-2050;Mo,We;RUS;E07 Russian Spy Numbers;E;RUS;m;1;0103;3103
7651;0000-2400;;ISR;Israeli Air Force ALE;;ME;;1;;[1219]
7655;0000-2400;;ISR;Israeli Air Force ALE;;ME;;1;;
7660;0000-2400;;AUS;Australian Police ALE;;AUS;;1;;[0120]
7661.3;0000-2400;;USA;Fish and Wildlife ALE;;USA;;1;;
7663;0945-0950;Tu,Fr;POL;F03j Polish Spy Numbers;-TY;;p;1;0105;3108
7665;0300-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;[1120]
7665;1140-1150;Tu,Fr;RUS;XPA2 Russian Spy Numbers;-TY;RUS;m;1;0101;3101
7665;0300-1700;;TWN;Sound of Hope-RFA;M;FE;;1;;
7671;0000-2400;;IRQ;Iraqi Security Fcs. ALE;;IRQ;;1;;[0120]
7673;1220-1230;Mo-Th;RUS;F06 Russian Spy Numbers;-TY;RUS;or;1;0109;3009
7677.4;0000-2400;;AUS;Humpty Doo STANAG;;AUS;h;1;;[0619]
7681;0000-2400;;AUS;Humpty Doo STANAG;;AUS;h;1;;[0619]
7681;0000-2400;;G;UK MoD DHFCS STANAG;;NAO;ic;1;;[0120]
7684;1940-1950;1WeFr;RUS;F01 Russian Spy Numbers;-TY;RUS;m;1;0112;3112
7684;1620-1630;Tu,Th;RUS;XPA2 Russian Spy Numbers;-TY;RUS;m;1;0112;3112
7689;0000-2400;;USA;Bonneville PowerAdm.ALE;;WNA;;1;;
7692;0000-2400;;MRC;Moroccan Police ALE;;MRC;;1;;
7697;0000-2400;;USA;American Red Cross ALE;;USA;;1;;
7697;0000-2400;;USA;NTA Emergency ALE Net;;USA;;1;;
7710;0100-0140;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;1005;3112
7710;0200-0240;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;1005;3112[0518]
7710;0600-0630;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
7710;0700-0730;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
7710;1000-1030;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;0105;3112
7710;1100-1130;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;0105;3112
7710;2100-2130;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
7710;2200-2230;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
7718.5;0000-2400;;USA;Missouri Nat.Guard ALE;;CNA;;1;;
7720;0000-2400;;F;French Navy ALE;;F;;1;;
7720;0000-2400;;USA;US National Guard ALE;;USA;;1;;
7723;1900-1910;1WeFr;RUS;F01 Russian Spy Numbers;-TY;RUS;m;1;0110;3110
7723;1920-1930;Tu,Su;RUS;XPB Russian Spy Numbers;-TY;RUS;m;1;0110;3110
7727;0000-2400;;UZB;Channel Marker V;-CW;CAs;;1;;[0417]
7730;0000-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;[1020]
7730;0100-0800;;USA;Brother Stair;E;WNA;o;1;;
7730;0900-1100;;USA;Brother Stair;E;WNA;o;1;;
7730;0000-0100;;USA;WRMI Radio Miami Int.;E;WNA;o;1;;
7730;0800-0900;;USA;WRMI Radio Miami Int.;E;WNA;o;1;;
7730.1;0000-0100;;TWN;Sound of Hope;M;FE;;1;;
7730.1;0100-0200;;TWN;Sound of Hope;M;FE;;1;;
7730.1;0200-1000;;TWN;Sound of Hope;M;FE;;1;;
7730.1;1000-1300;;TWN;Sound of Hope;M;FE;;1;;
7730.1;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
7730.1;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
7730.1;1500-1600;;TWN;Sound of Hope;CA;FE;;1;;
7730.1;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
7730.1;1700-2000;;TWN;Sound of Hope;M;FE;;1;;[0521]
7730.1;2000-2100;;TWN;Sound of Hope;M;FE;;1;;
7730.1;2100-2130;;TWN;Sound of Hope;M;FE;;1;;[0521]
7730.1;2130-2200;;TWN;Sound of Hope;M;FE;;1;;
7730.1;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
7730.1;2300-2400;;TWN;Sound of Hope;M;FE;;1;;
7732;2240-2250;Fr,Sa;RUS;M12 Spy Numbers;-CW;RUS;m;1;0102;2802
7732;2240-2250;Fr,Sa;RUS;M12 Spy Numbers;-CW;RUS;m;1;0112;3112[1219]
7739;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[1219]
7740;0000-2400;;F;French Diplo ALE;;F;;1;;
7744;1510-1520;Tu;UKR;S06s Spy Numbers;R;UKR;rv;1;0105;3108[0719]
7745;0000-2400;;JOR;Jordan Address ALE Net;;JOR;;1;;[1019]
7746;0300-1500;;RUS;REA4 AirForce Meteo x40;-CW;EEu;xx;1;0109;3110
7746.5;0000-2400;;TUR;TBB Turk.Navy STANAG;;ME;a;1;;[1219]
7749;1925-1935;Tu;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0419]
7749;1925-1935;Tu;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110
7750;1500-1700;Sa;G;BBC;SO;EAf;/SOM-b;1;;[1218]
7750;1800-1830;;G;BBC;SO;EAf;/SOM-b;1;;
7750;0300-0600;irr;SOM;Warsan Radio USB;SO;EAf;b;1;;
7750;0900-1930;irr;SOM;Warsan Radio USB;SO;EAf;b;1;;[0921]
7760;0000-2400;;RUS;RDL Russian Navy;-CW;RUS;m;1;;
7766.5;0000-2400;;UKR;Ukrainian Military ALE;;UKR;;1;;[0120]
7771;2000-2010;Tu,Su;RUS;XPB Russian Spy Numbers;-TY;RUS;m;1;0101;3101
7772;0000-2400;;LVA;Latvian Military ALE;;LVA;;1;;
7777;0000-2400;;KGZ;Kyrgyz Military ALE;;KGZ;;1;;
7778.5;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;[0219]
7780;2230-2300;Su-Th;ALB;Radio Tirana;E;ENA;/USA-o;1;;[0420]
7780;0200-0230;Th;ARG;R.Argentina al Exterior;E;ENA;/USA-o;1;;
7780;0200-0230;Fr;ARG;R.Argentina al Exterior;I;ENA;/USA-o;1;;
7780;0200-0300;We;ARG;R.Argentina al Exterior;P;ENA;/USA-o;1;;
7780;0200-0300;Tu,Sa;ARG;R.Argentina al Exterior;S;ENA;/USA-o;1;;
7780;0230-0300;Th;ARG;R.Argentina al Exterior;F;ENA;/USA-o;1;;
7780;0230-0300;Fr;ARG;R.Argentina al Exterior;J;ENA;/USA-o;1;;
7780;1600-1700;Mo-Th;ARG;R.Argentina al Exterior;D;ENA;/USA-o;1;;
7780;2100-2200;We;ARG;R.Argentina al Exterior;D;ENA;/USA-o;1;;
7780;2330-2400;Tu;ARG;R.Argentina al Exterior;D;ENA;/USA-o;1;;
7780;2330-2400;We;ARG;R.Argentina al Exterior;E;ENA;/USA-o;1;;
7780;2330-2400;Mo;ARG;R.Argentina al Exterior;F;ENA;/USA-o;1;;
7780;2330-2400;Th;ARG;R.Argentina al Exterior;I;ENA;/USA-o;1;;
7780;2330-2400;Fr;ARG;R.Argentina al Exterior;S;ENA;/USA-o;1;;
7780;2300-2330;Mo-Sa;CZE;Radio Prague;F;ENA;/USA-o;1;;
7780;0000-0030;;SVK;Radio Slovakia Int.;SK;ENA;/USA-o;1;;
7780;0030-0100;;SVK;Radio Slovakia Int.;E;ENA;/USA-o;1;;
7780;0330-0400;Mo-Sa;SVK;Radio Slovakia Int.;E;ENA;/USA-o;1;;
7780;2200-2230;;TWN;Radio Taiwan Int.;S;ENA;/USA-o;1;;[0421]
7780;1400-1500;;USA;Brother Stair;E;ENA;o;1;;
7780;1700-2000;;USA;Brother Stair;E;ENA;o;1;;
7780;0100-0200;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
7780;0200-0300;Su-Mo;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
7780;0300-0400;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
7780;1500-1700;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
7780;2000-2200;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
7780;2230-2300;Fr-Sa;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
7780;2330-2400;SaSu;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
7785;0700-0900;;RUS;REA4 AirForce Meteo x40;-CW;NAs;xx;1;0111;2802
7785;2300-0100;;RUS;REA4 AirForce Meteo x40;-CW;NAs;xx;1;0111;2802
7791.5;0000-2400;;TUR;Turk.AFAD Emergency ALE;;TUR;;1;;[1219]
7795;0000-2400;;J;JMH Japan Meteo Fax;;FE;k;1;;[0321]
7795;0000-2400;;USA;Washington GasLight ALE;;ENA;;1;;
7798;1830-1835;Mo,Th;POL;F03l Polish Spy Numbers;-TY;;p;1;0103;3004
7798;1830-1835;Mo,Th;POL;F03l Polish Spy Numbers;-TY;;p;1;0109;3110
7802;0000-2400;;USA;Illinois Emergency ALE;;CNA;;1;;
7803;0000-2400;;SVK;Slovak Military ALE;;SVK;;1;;
7805;0000-2400;;UKR;Ukrainian Military ALE;;UKR;;1;;[0120]
7805;0000-2400;;USA;Calif.Emergency Sce.ALE;;WNA;;1;;
7805;0000-2400;;USA;NTA Emergency ALE Net;;USA;;1;;
7810;0000-2400;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;[0321]
7810;0000-0100;;TWN;Sound of Hope;M;FE;;1;;
7810;0100-0200;;TWN;Sound of Hope;M;FE;;1;;
7810;0200-1000;;TWN;Sound of Hope;M;FE;;1;;
7810;1000-1300;;TWN;Sound of Hope;M;FE;;1;;
7810;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
7810;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
7810;1500-1600;;TWN;Sound of Hope;CA;FE;;1;;
7810;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
7810;1700-2000;;TWN;Sound of Hope;M;FE;;1;;[0521]
7810;2000-2100;;TWN;Sound of Hope;M;FE;;1;;
7810;2100-2130;;TWN;Sound of Hope;M;FE;;1;;[0521]
7810;2130-2200;;TWN;Sound of Hope;M;FE;;1;;
7810;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
7810;2300-2400;;TWN;Sound of Hope;M;FE;;1;;
7810;0000-2400;;KGZ;Kyrgyz Military ALE;;KGZ;;1;;
7810;0000-2400;;TUR;Red Crescent ALE;;TUR;;1;;[1019]
7813;0000-2400;;MRC;Moroccan Military ALE;;MRC;;1;;
7813.5;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;
7816;0000-2400;;RUS;RDL Russian Navy;-CW;RUS;m;1;;
7819;0000-2400;;USA;US National Guard ALE;;USA;;1;;
7821;1840-1850;We,Su;RUS;E07 Russian Spy Numbers;E;RUS;m;1;0103;3103
7825;0000-2400;;LTU;Lithuanian Navy ALE;;LTU;;1;;
7830;0000-2400;;PTR;NAU US Navy STANAG;;NAm;i;1;;
7833;0000-2400;;F;Fr. Air Force E-3F ALE;;Eu;av;1;;
7836;1540-1550;Su;RUS;F06 Russian Spy Numbers;-TY;RUS;m;1;0112;3112[1219]
7837;1030-1035;Mo,We;POL;F03j Polish Spy Numbers;-TY;;p;1;0111;2802
7840;0645-0655;Tu,Th;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802[0119]
7840;1000-1010;Tu,Fr;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0419]
7840;1000-1010;Tu,Fr;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110[0918]
7840;1800-1805;Tu,Th;POL;P03 Polish Spy Numbers;-TY;;p;1;0103;3004
7840;1800-1805;Tu,Th;POL;P03 Polish Spy Numbers;-TY;;p;1;0109;3110
7843.2;0000-2400;;E;EBA Navy Madrid STANAG;;SEu;;1;;[0617]
7844;0000-2400;;AUT;Austrian Military ALE;;AUT;;1;;
7850;0000-2400;;CAN;CHU Ottawa;-TS;NAm;o;1;;[0621]
7850;0315-0325;We,Th;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0421]
7850;0315-0325;We,Th;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110[0916]
7857;0030-0040;Tu,Fr;RUS;M12 Spy Numbers;-CW;RUS;m;1;0106;3006
7860;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;in;1;;[1119]
7861;0000-2400;;CHN;Chinese Military ALE;;CHN;;1;;
7862;0000-2400;;CHN;Chinese Navy ALE;;CHN;;1;;
7863;1625-1635;We,Su;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0719]
7864;1730-1740;Th;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0419]
7864;1730-1740;Th;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110[1019]
7868;0000-2400;;TUR;Red Crescent ALE;;TUR;;1;;
7876;2000-2010;Tu,Su;RUS;XPB Russian Spy Numbers;-TY;RUS;m;1;0111;3011
7879;0000-2400;;USA;FEMA Emergency ALE;;USA;;1;;
7880;0430-0545;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;
7880;0638-1155;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[0420]
7880;1236-1551;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[0919]
7880;1636-1655;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;
7880;1800-1947;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[0218]
7880;2035-2300;;D;DWD Pinneberg Met Fax;;Eu;pi;1;;[1216]
7881;2010-2020;Tu,Su;RUS;XPB Russian Spy Numbers;-TY;RUS;m;1;0103;3103
7890;1830-2100;harm;VUT;Radio Vanuatu;-MX;VUT;;1;;[0221]
7892;0000-2400;;TUR;Turk.AFAD Emergency ALE;;TUR;;1;;[0120]
7898;0000-2400;;D;German Red Cross ALE;;D;;1;;
7900;0000-2400;;ALG;Algerian Military ALE;;ALG;;1;;[0120]
7900;0000-2400;;BIH;Bosnian Emergency ALE;;BIH;;1;;
7900;0000-2400;;CLM;Colombian Navy ALE;;CLM;;1;;[1119]
7902;0000-2400;;POL;Internal Ministry ALE;;POL;;1;;
7903;1215-1225;;VTN;Ho Chi Minh City R.XVS;E;SEA;hc;1;;[0815]
7903;1445-1455;;VTN;Ho Chi Minh City R.XVS;E;SEA;hc;8;;[0115]
7903.5;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;[0219]
7906;0050-0100;;VTN;Ben Thuy Radio;VN;SEA;bt;1;;
7906;1250-1300;;VTN;Ben Thuy Radio;VN;SEA;bt;1;;[0420]
7906;1135-1140;;VTN;Ca Mau Radio;VN;SEA;cm;1;;[0318]
7906;2335-2345;;VTN;Ca Mau Radio;VN;SEA;cm;1;;
7906;0205-0215;;VTN;Can Tho Radio;VN;SEA;ct;1;;
7906;1405-1415;;VTN;Can Tho Radio;VN;SEA;ct;1;;[1214]
7906;0035-0045;;VTN;Da Nang Radio XVT;VN;SEA;dn;1;;
7906;1235-1245;;VTN;Da Nang Radio XVT;VN;SEA;dn;1;;[1214]
7906;0005-0030;;VTN;Hai Phong Radio XVG;VN;SEA;hp;1;;
7906;1205-1213;;VTN;Hai Phong Radio XVG;VN;SEA;hp;1;;[1119]
7906;0105-0115;;VTN;Ho Chi Minh City R.XVS;E;SEA;hc;1;;
7906;1305-1310;;VTN;Ho Chi Minh City R.XVS;VN;SEA;hc;1;;[1220]
7906;1310-1315;;VTN;Ho Chi Minh City R.XVS;VN;SEA;hc;1;;[0420]
7906;1105-1110;;VTN;Hon Gai Radio;VN;SEA;hg;1;;[0318]
7906;2305-2315;;VTN;Hon Gai Radio;VN;SEA;hg;1;;
7906;1050-1055;;VTN;Hue Radio;VN;SEA;hu;1;;[0318]
7906;2250-2300;;VTN;Hue Radio;VN;SEA;hu;1;;[1214]
7906;1020-1030;;VTN;Kien Giang Radio;VN;SEA;kg;1;;
7906;2220-2230;;VTN;Kien Giang Radio;VN;SEA;kg;1;;
7906;0120-0130;;VTN;Mong Cai Radio XVM;VN;SEA;mc;1;;
7906;1320-1330;;VTN;Mong Cai Radio XVM;VN;SEA;mc;1;;[0220]
7906;1150-1155;;VTN;Nha Trang Radio XVN;VN;SEA;nt;1;;[0318]
7906;1550-1600;;VTN;Nha Trang Radio XVN;VN;SEA;nt;1;;[0120]
7906;2350-2400;;VTN;Nha Trang Radio XVN;VN;SEA;nt;1;;
7906;0135-0145;;VTN;Phan Rang Radio;VN;SEA;pr;1;;
7906;1335-1345;;VTN;Phan Rang Radio;VN;SEA;pr;1;;[0220]
7906;0150-0200;;VTN;Phan Tiet Radio;VN;SEA;pt;1;;
7906;1350-1400;;VTN;Phan Tiet Radio;VN;SEA;pt;1;;[1214]
7906;1120-1125;;VTN;Phu Yen Radio;VN;SEA;py;1;;[0318]
7906;2320-2330;;VTN;Phu Yen Radio;VN;SEA;py;1;;
